country,player,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,centuries,half_centuries,ducks,boundaries,sixes
Australia,SA Abbott,2,2,0,7,4,3.50,16,43.75,0,0,0,0,0
Australia,AC Agar,14,12,2,217,46,21.70,240,90.41,0,0,2,22,1
Australia,PJ Cummins,69,44,15,285,36,9.82,387,73.64,0,0,7,20,5
Australia,AJ Finch,132,128,3,5232,153*,41.85,5917,88.42,17,29,11,518,126
Australia,JR Hazlewood,54,18,15,53,11*,17.66,80,66.25,0,0,1,6,0
Australia,MC Henriques,13,12,2,105,22,10.50,151,69.53,0,0,0,10,0
Australia,M Labuschagne,13,12,0,473,108,39.41,519,91.13,1,3,1,32,0
Australia,MR Marsh,60,56,9,1615,102*,34.36,1787,90.37,1,12,4,134,38
Australia,GJ Maxwell,116,106,12,3230,108,34.36,2575,125.43,2,22,9,309,116
Australia,TD Paine,35,35,3,890,111,27.81,1257,70.80,1,5,1,96,6
Australia,JA Richardson,13,8,3,92,29,18.40,104,88.46,0,0,0,7,0
Australia,KW Richardson,25,12,7,75,24*,15.00,68,110.29,0,0,2,7,4
Australia,DJM Short,8,8,1,211,69,30.14,269,78.43,0,1,1,16,1
Australia,SPD Smith,128,113,12,4378,164,43.34,4947,88.49,11,25,5,377,42
Australia,MP Stoinis,45,42,7,1106,146*,31.60,1199,92.24,1,6,4,96,37
Australia,MS Wade,94,80,11,1777,100*,25.75,2164,82.11,1,10,5,122,32
Australia,DA Warner,128,126,6,5455,179,45.45,5710,95.53,18,23,2,571,85
Australia,PSP Handscomb,22,20,1,632,117,33.26,649,97.38,1,4,2,46,6
Australia,TM Head,42,39,2,1273,128,34.40,1414,90.02,1,10,1,135,16
Australia,NM Lyon,29,14,10,77,30,19.25,83,92.77,0,0,1,7,2
Australia,SE Marsh,73,72,4,2773,151,40.77,3406,81.41,7,15,3,247,36
Australia,PM Siddle,20,6,3,31,10*,10.33,30,103.33,0,0,1,2,0
Australia,MA Starc,96,54,21,401,52*,12.15,440,91.13,0,1,9,29,11
Australia,AT Carey,42,37,7,1091,106,36.36,1189,91.75,1,4,2,109,8
Australia,NM Coulter-Nile,32,21,6,252,92,16.80,262,96.18,0,1,2,20,6
Australia,C Green,1,1,0,21,21,21.00,27,77.77,0,0,0,1,1
Australia,UT Khawaja,40,39,2,1554,104,42.00,1848,84.09,2,12,2,150,13
Australia,B Stanlake,7,5,2,4,2,1.33,28,14.28,0,0,1,0,0
Australia,AJ Turner,6,5,1,142,84*,35.50,111,127.92,0,1,0,8,8
Australia,CA Lynn,4,4,0,75,44,18.75,89,84.26,0,0,1,5,3
Australia,JL Pattinson,15,8,4,42,13,10.50,80,52.50,0,0,0,2,0
Australia,A Zampa,61,27,7,128,22,6.40,214,59.81,0,0,3,8,1
Bangladesh,Abu Jayed,2,-,-,-,-,-,-,-,-,-,-,-,-
Bangladesh,Afif Hossain,1,1,0,7,7,7.00,4,175.00,0,0,0,1,0
Bangladesh,Liton Das,42,42,3,1155,176,29.61,1260,91.66,3,3,6,123,22
Bangladesh,Mahedi Hasan,3,3,0,24,14,8.00,33,72.72,0,0,0,1,2
Bangladesh,Mehidy Hasan Miraz,47,28,4,394,51,16.41,520,75.76,0,1,1,39,4
Bangladesh,Mohammad Mithun,30,26,4,663,73*,30.13,841,78.83,0,6,1,56,16
Bangladesh,Mohammad Saifuddin,24,15,6,302,51*,33.55,343,88.04,0,2,1,25,6
Bangladesh,Mominul Haque,28,26,1,557,60,22.28,749,74.36,0,3,1,60,1
Bangladesh,Mushfiqur Rahim,224,210,36,6344,144,36.45,8057,78.73,7,39,10,503,84
Bangladesh,Mustafizur Rahman,64,29,18,79,18*,7.18,140,56.42,0,0,5,9,0
Bangladesh,Najmul Hossain Shanto,8,8,0,93,29,11.62,158,58.86,0,0,0,7,2
Bangladesh,Shakib Al Hasan,209,197,28,6436,134*,38.08,7815,82.35,9,48,10,582,42
Bangladesh,Taijul Islam,9,5,1,63,39*,15.75,78,80.76,0,0,1,7,1
Bangladesh,Tamim Iqbal,213,211,9,7452,158,36.89,9510,78.35,13,50,18,808,94
Bangladesh,Abdur Razzak,153,97,39,779,53*,13.43,1020,76.37,0,1,12,55,21
Bangladesh,Ariful Haque,1,-,-,-,-,-,-,-,-,-,-,-,-
Bangladesh,Mosaddek Hossain,35,30,10,549,52*,27.45,633,86.72,0,2,1,53,11
Bangladesh,Nurul Hasan,2,2,0,68,44,34.00,70,97.14,0,0,0,4,2
Bangladesh,Rubel Hossain,104,53,24,144,17,4.96,277,51.98,0,0,11,14,2
Bangladesh,Soumya Sarkar,61,58,3,1768,127*,32.14,1816,97.35,2,11,6,203,43
Bangladesh,Abu Hider,2,1,0,1,1,1.00,11,9.09,0,0,0,0,0
Bangladesh,Al-Amin Hossain,15,7,5,4,2*,2.00,20,20.00,0,0,2,0,0
Bangladesh,Anamul Haque,38,35,0,1052,120,30.05,1488,70.69,3,3,6,103,19
Bangladesh,Fazle Mahmud,2,2,0,0,0,0.00,9,0.00,0,0,2,0,0
Bangladesh,Hasan Mahmud,3,1,0,1,1,1.00,5,20.00,0,0,0,0,0
Bangladesh,Mashrafe Mortaza,220,158,28,1787,51*,13.74,2041,87.55,0,1,15,150,62
Bangladesh,Mohammad Naim,1,-,-,-,-,-,-,-,-,-,-,-,-
Bangladesh,Nazmul Islam,5,1,0,7,7,7.00,13,53.84,0,0,0,0,0
Bangladesh,Shafiul Islam,60,34,12,134,24*,6.09,240,55.83,0,0,9,13,2
Bangladesh,Mahmudullah,194,168,45,4262,128*,34.65,5515,77.28,3,23,8,329,65
Bangladesh,Sabbir Rahman,66,59,7,1333,102,25.63,1461,91.23,1,6,5,153,24
England,MM Ali,109,88,14,1849,128,24.98,1796,102.95,3,5,6,161,63
England,JM Anderson,194,79,43,273,28,7.58,561,48.66,0,0,10,23,0
England,JM Bairstow,86,79,8,3426,141*,48.25,3274,104.64,11,14,6,382,87
England,SCJ Broad,121,68,25,529,45*,12.30,709,74.61,0,0,8,35,10
England,SM Curran,8,6,1,132,95*,26.40,155,85.16,0,1,0,11,4
England,JL Denly,16,13,0,446,87,34.30,629,70.90,0,4,0,44,6
England,BT Foakes,1,1,1,61,61*,-,76,80.26,0,1,0,3,1
England,DJ Malan,3,3,1,90,50,45.00,103,87.37,0,1,0,10,0
England,EJG Morgan,243,226,33,7620,148,39.48,8339,91.37,14,46,16,645,219
England,AU Rashid,109,50,14,663,69,18.41,654,101.37,0,1,5,69,9
England,JE Root,149,140,21,5962,133*,50.10,6860,86.90,16,33,5,482,44
England,BA Stokes,98,84,15,2817,102*,40.82,2957,95.26,3,21,5,225,86
England,RJW Topley,13,6,5,8,6,8.00,41,19.51,0,0,0,0,0
England,CR Woakes,104,72,21,1315,95*,25.78,1447,90.87,0,5,6,97,19
England,JC Buttler,148,123,23,3872,150,38.72,3263,118.66,9,20,13,323,125
England,C Overton,1,-,-,-,-,-,-,-,-,-,-,-,-
England,JJ Roy,96,92,2,3598,180,39.97,3358,107.14,9,19,9,418,73
England,OP Stone,4,1,1,9,9*,-,7,128.57,0,0,0,1,0
England,JM Vince,16,14,0,322,51,23.00,364,88.46,0,1,1,49,0
England,JC Archer,17,9,5,27,8*,6.75,34,79.41,0,0,1,2,0
England,JT Ball,18,6,2,38,28,9.50,49,77.55,0,0,2,6,0
England,T Banton,6,5,0,134,58,26.80,145,92.41,0,1,0,17,2
England,LA Dawson,3,2,0,14,10,7.00,17,82.35,0,0,0,1,0
England,AD Hales,70,67,3,2419,171,37.79,2527,95.72,6,14,5,276,50
England,CJ Jordan,34,23,9,170,38*,12.14,193,88.08,0,0,3,12,5
England,S Mahmood,4,1,0,12,12,12.00,15,80.00,0,0,0,1,0
England,MW Parkinson,2,-,-,-,-,-,-,-,-,-,-,-,-
England,LE Plunkett,89,50,19,646,56,20.83,629,102.70,0,1,3,53,18
England,DJ Willey,49,29,13,377,51,23.56,427,88.29,0,2,1,31,11
England,TK Curran,26,17,9,303,47*,37.87,321,94.39,0,0,2,29,5
England,BM Duckett,3,3,0,123,63,41.00,152,80.92,0,2,1,10,1
England,MA Wood,55,19,11,72,14,9.00,91,79.12,0,0,3,7,0
India,MA Agarwal,5,5,0,86,32,17.20,83,103.61,0,0,0,12,1
India,R Ashwin,111,61,19,675,65,16.07,776,86.98,0,1,6,59,6
India,YS Chahal,54,10,4,53,18*,8.83,90,58.88,0,0,1,7,0
India,SS Iyer,22,20,1,813,103,42.78,810,100.37,1,8,0,81,17
India,V Kohli,254,245,39,12169,183,59.07,13061,93.17,43,62,13,1140,125
India,Kuldeep Yadav,63,21,12,118,19,13.11,188,62.76,0,0,1,10,0
India,Mohammed Siraj,1,-,-,-,-,-,-,-,-,-,-,-,-
India,HH Pandya,60,44,7,1267,92*,34.24,1080,117.31,0,7,3,90,54
India,KH Pandya,3,3,2,95,58*,95.00,74,128.37,0,1,0,8,2
India,AR Patel,38,20,6,181,38,12.92,190,95.26,0,0,3,8,8
India,M Prasidh Krishna,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0
India,AM Rahane,90,87,3,2962,111,35.26,3767,78.63,3,24,6,293,33
India,KL Rahul,38,37,6,1509,112,48.67,1690,89.28,5,9,2,114,36
India,I Sharma,80,28,13,72,13,4.80,203,35.46,0,0,5,6,0
India,RG Sharma,227,220,32,9205,264,48.96,10354,88.90,29,43,13,832,244
India,SN Thakur,15,8,3,107,30,21.40,74,144.59,0,0,1,9,6
India,Washington Sundar,1,-,-,-,-,-,-,-,-,-,-,-,-
India,S Dhawan,142,139,7,5977,143,45.28,6365,93.90,17,32,5,748,71
India,RA Jadeja,168,113,39,2411,87,32.58,2769,87.07,0,13,6,178,49
India,RR Pant,18,16,0,529,78,33.06,463,114.25,0,3,1,48,21
India,PA Patel,38,34,3,736,95,23.74,962,76.50,0,4,2,79,7
India,CA Pujara,5,5,0,51,27,10.20,130,39.23,0,0,2,4,0
India,WP Saha,9,5,2,41,16,13.66,56,73.21,0,0,0,5,0
India,Shubman Gill,3,3,0,49,33,16.33,71,69.01,0,0,0,5,1
India,M Vijay,17,16,0,339,72,21.18,506,66.99,0,1,0,33,3
India,KK Ahmed,11,3,1,9,5,4.50,17,52.94,0,0,0,1,0
India,DL Chahar,3,2,1,18,12,18.00,22,81.81,0,0,0,1,0
India,MS Dhoni,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,826,229
