country,player,matches,innings,overs,maidens,runs,wickets,best_bowling_innings,average,economy,strike_rate,four_fers,fi_fers
Australia,SA Abbott,2,2,15.0,0,109,2,1/25,54.50,7.26,45.0,0,0
Australia,AC Agar,14,14,119.0,3,663,12,2/44,55.25,5.57,59.5,0,0
Australia,PJ Cummins,69,69,608.3,38,3195,111,5/70,28.78,5.25,32.8,5,1
Australia,AJ Finch,132,21,47.2,0,259,4,1/2,64.75,5.47,71.0,0,0
Australia,JR Hazlewood,54,53,480.5,33,2304,88,6/52,26.18,4.79,32.7,1,3
Australia,MC Henriques,13,12,67.0,1,347,8,3/32,43.37,5.17,50.2,0,0
Australia,M Labuschagne,13,3,4.0,0,36,0,-,-,9.00,-,0,0
Australia,MR Marsh,60,57,324.5,8,1803,49,5/33,36.79,5.55,39.7,1,1
Australia,GJ Maxwell,116,91,473.2,9,2683,51,4/46,52.60,5.66,55.6,2,0
Australia,TD Paine,35,-,-,-,-,-,-,-,-,-,-,-
Australia,JA Richardson,13,13,118.0,11,690,24,4/26,28.75,5.84,29.5,1,0
Australia,KW Richardson,25,25,218.4,11,1240,39,5/68,31.79,5.67,33.6,0,1
Australia,DJM Short,8,5,15.0,0,114,0,-,-,7.60,-,0,0
Australia,SPD Smith,128,40,179.2,1,971,28,3/16,34.67,5.41,38.4,0,0
Australia,MP Stoinis,45,42,246.0,2,1506,33,3/16,45.63,6.12,44.7,0,0
Australia,MS Wade,94,-,-,-,-,-,-,-,-,-,-,-
Australia,DA Warner,128,1,1.0,0,8,0,-,-,8.00,-,0,0
Australia,PSP Handscomb,22,-,-,-,-,-,-,-,-,-,-,-
Australia,TM Head,42,26,127.3,0,737,12,2/22,61.41,5.78,63.7,0,0
Australia,NM Lyon,29,29,271.0,11,1334,29,4/44,46.00,4.92,56.0,1,0
Australia,SE Marsh,73,-,-,-,-,-,-,-,-,-,-,-
Australia,PM Siddle,20,19,150.1,10,743,17,3/55,43.70,4.94,53.0,0,0
Australia,MA Starc,96,96,822.4,40,4262,184,6/28,23.16,5.18,26.8,11,7
Australia,AT Carey,42,-,-,-,-,-,-,-,-,-,-,-
Australia,NM Coulter-Nile,32,32,279.4,10,1555,52,4/48,29.90,5.56,32.2,1,0
Australia,C Green,1,1,4.0,0,27,0,-,-,6.75,-,0,0
Australia,UT Khawaja,40,-,-,-,-,-,-,-,-,-,-,-
Australia,B Stanlake,7,7,59.0,3,324,7,3/35,46.28,5.49,50.5,0,0
Australia,AJ Turner,6,-,-,-,-,-,-,-,-,-,-,-
Australia,CA Lynn,4,-,-,-,-,-,-,-,-,-,-,-
Australia,JL Pattinson,15,15,121.1,6,681,16,4/51,42.56,5.62,45.4,1,0
Australia,A Zampa,61,61,541.2,5,3004,92,4/43,32.65,5.54,35.3,3,0
Bangladesh,Abu Jayed,2,2,18.0,0,114,5,5/58,22.80,6.33,21.6,0,1
Bangladesh,Afif Hossain,1,1,2.0,0,12,1,1/12,12.00,6.00,12.0,0,0
Bangladesh,Liton Das,42,-,-,-,-,-,-,-,-,-,-,-
Bangladesh,Mahedi Hasan,3,3,23.0,1,105,2,2/42,52.50,4.56,69.0,0,0
Bangladesh,Mehidy Hasan Miraz,47,46,392.5,14,1767,47,4/25,37.59,4.49,50.1,2,0
Bangladesh,Mohammad Mithun,30,1,2.0,0,12,0,-,-,6.00,-,0,0
Bangladesh,Mohammad Saifuddin,24,24,181.5,7,1066,34,4/41,31.35,5.86,32.0,1,0
Bangladesh,Mominul Haque,28,12,39.0,1,190,7,2/13,27.14,4.87,33.4,0,0
Bangladesh,Mushfiqur Rahim,224,-,-,-,-,-,-,-,-,-,-,-
