country,player,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,centuries,half_centuries,ducks,boundaries,sixes
Australia,SA Abbott,7,2,1,17,12*,17.00,16,106.25,0,0,0,1,1
Australia,AC Agar,32,17,4,176,29,13.53,156,112.82,0,0,2,13,5
Australia,PJ Cummins,30,13,6,48,13*,6.85,42,114.28,0,0,2,3,2
Australia,AJ Finch,71,71,10,2346,172,38.45,1542,152.14,2,14,5,235,104
Australia,JR Hazlewood,9,-,-,-,-,-,-,-,-,-,-,-,-
Australia,MC Henriques,14,11,4,220,62*,31.42,162,135.80,0,2,0,10,9
Australia,MR Marsh,20,20,5,325,45,21.66,280,116.07,0,0,1,17,15
Australia,GJ Maxwell,72,65,9,1780,145*,31.78,1120,158.92,3,9,1,147,93
Australia,TD Paine,12,9,1,82,25,10.25,77,106.49,0,0,2,7,3
Australia,JR Philippe,5,5,0,105,45,21.00,87,120.68,0,0,0,6,4
Australia,JA Richardson,14,7,4,36,11,12.00,31,116.12,0,0,1,3,1
Australia,KW Richardson,26,5,2,16,9,5.33,15,106.66,0,0,1,0,0
Australia,DJM Short,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15
Australia,SPD Smith,45,37,8,794,90,27.37,613,129.52,0,4,1,66,21
Australia,MP Stoinis,28,23,8,376,78,25.06,281,133.80,0,1,1,34,13
Australia,MJ Swepson,4,2,2,15,12*,-,9,166.66,0,0,0,1,1
Australia,MS Wade,38,29,5,526,80,21.91,415,126.74,0,3,0,39,19
Australia,DA Warner,81,81,9,2265,100*,31.45,1621,139.72,1,18,6,218,89
Australia,CT Bancroft,1,1,1,0,0*,-,0,-,0,0,0,0,0
Australia,PSP Handscomb,2,2,1,33,20*,33.00,33,100.00,0,0,0,1,0
Australia,TM Head,16,15,3,319,48*,26.58,245,130.20,0,0,0,19,10
Australia,NM Lyon,2,1,1,4,4*,-,4,100.00,0,0,0,0,0
Australia,SE Marsh,15,15,1,255,47*,18.21,248,102.82,0,0,2,15,10
Australia,PM Siddle,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
Australia,MA Starc,35,10,5,24,7*,4.80,26,92.30,0,0,0,0,1
Australia,AT Carey,30,18,4,176,37*,12.57,151,116.55,0,0,0,13,6
Australia,NM Coulter-Nile,28,15,4,150,34,13.63,120,125.00,0,0,3,10,10
Australia,UT Khawaja,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
Australia,B Stanlake,19,2,1,9,7,9.00,12,75.00,0,0,0,0,1
Australia,AJ Turner,11,7,3,57,22*,14.25,57,100.00,0,0,1,1,2
Australia,CA Lynn,18,16,1,291,44,19.40,221,131.67,0,0,1,28,14
