country,player,matches,innings,overs,maidens,runs,wickets,best_bowling_innings,average,economy,strike_rate,four_fers,fi_fers
Australia,SA Abbott,7,7,18.0,0,150,4,2/14,37.50,8.33,27.0,0,0
Australia,AC Agar,32,32,108.0,1,743,38,6/30,19.55,6.87,17.0,0,2
Australia,PJ Cummins,30,30,110.0,3,763,37,3/15,20.62,6.93,17.8,0,0
Australia,AJ Finch,71,2,2.0,0,27,0,-,-,13.50,-,0,0
Australia,JR Hazlewood,9,9,36.0,0,331,9,4/30,36.77,9.19,24.0,1,0
Australia,MC Henriques,14,9,22.0,0,189,7,3/22,27.00,8.59,18.8,0,0
Australia,MR Marsh,20,10,20.0,0,159,7,2/6,22.71,7.95,17.1,0,0
Australia,GJ Maxwell,72,47,108.0,0,811,31,3/10,26.16,7.50,20.9,0,0
Australia,TD Paine,12,-,-,-,-,-,-,-,-,-,-,-
Australia,JR Philippe,5,-,-,-,-,-,-,-,-,-,-,-
Australia,JA Richardson,14,14,50.0,0,426,13,2/31,32.76,8.52,23.0,0,0
Australia,KW Richardson,26,26,89.0,0,705,29,3/18,24.31,7.92,18.4,0,0
Australia,DJM Short,23,9,19.0,0,151,3,1/13,50.33,7.94,38.0,0,0
Australia,SPD Smith,45,17,48.3,1,377,17,3/20,22.17,7.77,17.1,0,0
Australia,MP Stoinis,28,18,42.2,0,359,10,2/27,35.90,8.48,25.4,0,0
Australia,MJ Swepson,4,4,14.0,0,106,7,3/23,15.14,7.57,12.0,0,0
Australia,MS Wade,38,-,-,-,-,-,-,-,-,-,-,-
Australia,DA Warner,81,-,-,-,-,-,-,-,-,-,-,-
Australia,CT Bancroft,1,-,-,-,-,-,-,-,-,-,-,-
Australia,PSP Handscomb,2,-,-,-,-,-,-,-,-,-,-,-
Australia,TM Head,16,3,4.0,0,39,1,1/16,39.00,9.75,24.0,0,0
Australia,NM Lyon,2,2,5.0,0,48,1,1/33,48.00,9.60,30.0,0,0
Australia,SE Marsh,15,-,-,-,-,-,-,-,-,-,-,-
Australia,PM Siddle,2,2,8.0,0,58,3,2/24,19.33,7.25,16.0,0,0
Australia,MA Starc,35,35,131.0,1,911,47,3/11,19.38,6.95,16.7,0,0
Australia,AT Carey,30,-,-,-,-,-,-,-,-,-,-,-
Australia,NM Coulter-Nile,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0
Australia,UT Khawaja,9,-,-,-,-,-,-,-,-,-,-,-
Australia,B Stanlake,19,19,70.0,2,544,27,4/8,20.14,7.77,15.5,1,0
Australia,AJ Turner,11,3,6.0,0,42,3,2/12,14.00,7.00,12.0,0,0
Australia,CA Lynn,18,-,-,-,-,-,-,-,-,-,-,-
